vz,cm,er,ee,ex
50.0,0.031201997074787925,0.008025028763405957,6.668271004721904,0.0
50.0,1.8001641381531381,20.235768173723294,8.375928024443631,0.0
50.0,2.4810071750955625,29.506048725459454,9.489668186206881,0.0
50.0,0.4007061930990526,1.3060214367060181,6.756665700036291,0.0
50.0,2.14158317998111,25.39514883051659,8.96126630940076,0.0
50.0,0.9069620028661086,6.328755135227634,7.121992147998329,0.0
50.0,1.3441350580194733,12.78211065471576,7.6536901092109995,0.0
50.0,0.5880504122836513,2.769458517208348,6.859180305618306,0.0
50.0,2.109657875916854,24.94776629701631,8.90729026523088,0.0
50.0,0.1105684136806531,0.10067849396860266,6.674504059572803,0.0
50.0,0.9504863226105014,6.903399944602433,7.166322827283538,0.0
50.0,2.578820905997573,30.431746191824914,9.617365947318751,0.0
50.0,2.817856860442433,32.11796022249698,9.85902886664716,0.0
